 China,Asia,Eastern Asia,1409517397
 India,Asia,Southern Asia,1339180127
 United States,Americas,Northern America,324459463
 Indonesia,Asia,South-Eastern Asia,263991379
 Brazil,Americas,South America,209288278
 Pakistan,Asia,Southern Asia,197015955
 Nigeria,Africa,Western Africa,190886311
 Bangladesh,Asia,Southern Asia,164669751
 Russia,Europe,Eastern Europe,143989754
 Mexico,Americas,Central America,129163276
 Japan,Asia,Eastern Asia,127484450
 Ethiopia,Africa,Eastern Africa,104957438
 Philippines,Asia,South-Eastern Asia,104918090
 Egypt,Africa,Northern Africa,97553151
 Vietnam,Asia,South-Eastern Asia,95540800
 Germany,Europe,Western Europe,82114224
 Democratic Republic of the Congo,Africa,Middle Africa,81339988
 Iran,Asia,Southern Asia,81162788
 Turkey,Asia,Western Asia,80745020
 Thailand,Asia,South-Eastern Asia,69037513
 United Kingdom,Europe,Northern Europe,66181585
 France,Europe,Western Europe,64979548
 Italy,Europe,Southern Europe,59359900
 Tanzania,Africa,Eastern Africa,57310019
 South Africa,Africa,Southern Africa,56717156
 Myanmar,Asia,South-Eastern Asia,53370609
 South Korea,Asia,Eastern Asia,50982212
 Kenya,Africa,Eastern Africa,49699862
 Colombia,Americas,South America,49065615
 Spain,Europe,Southern Europe,46354321
 Argentina,Americas,South America,44271041
 Ukraine,Europe,Eastern Europe,44222947
 Uganda,Africa,Eastern Africa,42862958
 Algeria,Africa,Northern Africa,41318142
 Sudan,Africa,Northern Africa,40533330
 Iraq,Asia,Western Asia,38274618
 Poland,Europe,Eastern Europe,38170712
 Canada,Americas,Northern America,36624199
 Morocco,Africa,Northern Africa,35739580
 Afghanistan,Asia,Southern Asia,35530081
 Saudi Arabia,Asia,Western Asia,32938213
 Peru,Americas,South America,32165485
 Venezuela,Americas,South America,31977065
 Uzbekistan,Asia,Central Asia,31910641
 Malaysia,Asia,South-Eastern Asia,31624264
 Angola,Africa,Middle Africa,29784193
 Mozambique,Africa,Eastern Africa,29668834
   Nepal,Asia,Southern Asia,29304998
 Ghana,Africa,Western Africa,28833629
 Yemen,Asia,Western Asia,28250420
 Madagascar,Africa,Eastern Africa,25570895
 North Korea,Asia,Eastern Asia,25490965
 Australia,Oceania,Australia and New Zealand,24450561
 Côte d'Ivoire,Africa,Western Africa,24294750
 Cameroon,Africa,Middle Africa,24053727
 Taiwan,Asia,Eastern Asia,23626456
 Niger,Africa,Western Africa,21477348
 Sri Lanka,Asia,Southern Asia,20876917
 Romania,Europe,Eastern Europe,19679306
 Burkina Faso,Africa,Western Africa,19193382
 Malawi,Africa,Eastern Africa,18622104
 Mali,Africa,Western Africa,18541980
 Syria,Asia,Western Asia,18269868
 Kazakhstan,Asia,Central Asia,18204499
 Chile,Americas,South America,18054726
 Zambia,Africa,Eastern Africa,17094130
 Netherlands,Europe,Western Europe,17035938
 Guatemala,Americas,Central America,16913503
 Ecuador,Americas,South America,16624858
 Zimbabwe,Africa,Eastern Africa,16529904
 Cambodia,Asia,South-Eastern Asia,16005373
 Senegal,Africa,Western Africa,15850567
 Chad,Africa,Middle Africa,14899994
 Somalia,Africa,Eastern Africa,14742523
 Guinea,Africa,Western Africa,12717176
 South Sudan,Africa,Eastern Africa,12575714
 Rwanda,Africa,Eastern Africa,12208407
 Tunisia,Africa,Northern Africa,11532127
 Cuba,Americas,Caribbean,11484636
 Belgium,Europe,Western Europe,11429336
 Benin,Africa,Western Africa,11175692
 Greece,Europe,Southern Europe,11159773
 Bolivia,Americas,South America,11051600
 Haiti,Americas,Caribbean,10981229
 Burundi,Africa,Eastern Africa,10864245
 Dominican Republic,Americas,Caribbean,10766998
 Czech Republic,Europe,Eastern Europe,10618303
 Portugal,Europe,Southern Europe,10329506
 Sweden,Europe,Northern Europe,9910701
 Azerbaijan,Asia,Western Asia,9827589
 Hungary,Europe,Eastern Europe,9721559
 Jordan,Asia,Western Asia,9702353
 Belarus,Europe,Eastern Europe,9468338
 United Arab Emirates,Asia,Western Asia,9400145
 Honduras,Americas,Central America,9265067
 Tajikistan,Asia,Central Asia,8921343
 Serbia,Europe,Southern Europe,8790574
 Austria,Europe,Western Europe,8735453
  Switzerland,Europe,Western Europe,8476005
 Israel,Asia,Western Asia,8321570
 Papua New Guinea,Oceania,Melanesia,8251162
 Togo,Africa,Western Africa,7797694
 Sierra Leone,Africa,Western Africa,7557212
 Hong Kong,Asia,Eastern Asia,7364883
 Bulgaria,Europe,Eastern Europe,7084571
 Laos,Asia,South-Eastern Asia,6858160
 Paraguay,Americas,South America,6811297
 El Salvador,Americas,Central America,6377853
 Libya,Africa,Northern Africa,6374616
 Nicaragua,Americas,Central America,6217581
 Lebanon,Asia,Western Asia,6082357
 Kyrgyzstan,Asia,Central Asia,6045117
 Turkmenistan,Asia,Central Asia,5758075
 Denmark,Europe,Northern Europe,5733551
 Singapore,Asia,South-Eastern Asia,5708844
 Finland,Europe,Northern Europe,5523231
 Slovakia,Europe,Eastern Europe,5447662
 Norway,Europe,Northern Europe,5305383
 Congo,Africa,Middle Africa,5260750
 Eritrea,Africa,Eastern Africa,5068831
 Palestine,Asia,Western Asia,4920724
 Costa Rica,Americas,Central America,4905769
 Ireland,Europe,Northern Europe,4761657
 Liberia,Africa,Western Africa,4731906
 New Zealand,Oceania,Australia and New Zealand,4705818
 Central African Republic,Africa,Middle Africa,4659080
 Oman,Asia,Western Asia,4636262
 Mauritania,Africa,Western Africa,4420184
 Croatia,Europe,Southern Europe,4189353
 Kuwait,Asia,Western Asia,4136528
 Panama,Americas,Central America,4098587
 Moldova,Europe,Eastern Europe,4051212
 Georgia,Asia,Western Asia,3912061
 Puerto Rico,Americas,Caribbean,3663131
 Bosnia and Herzegovina,Europe,Southern Europe,3507017
 Uruguay,Americas,South America,3456750
 Mongolia,Asia,Eastern Asia,3075647
 Armenia,Asia,Western Asia,2930450
 Albania,Europe,Southern Europe,2930187
 Jamaica,Americas,Caribbean,2890299
 Lithuania,Europe,Northern Europe,2890297
 Qatar,Asia,Western Asia,2639211
 Namibia,Africa,Southern Africa,2533794
 Botswana,Africa,Southern Africa,2291661
 Lesotho,Africa,Southern Africa,2233339
 The Gambia,Africa,Western Africa,2100568
 Republic of Macedonia,Europe,Southern Europe,2083160
 Slovenia,Europe,Southern Europe,2079976
 Gabon,Africa,Middle Africa,2025137
 Latvia,Europe,Northern Europe,1949670
 Guinea-Bissau,Africa,Western Africa,1861283
 Bahrain,Asia,Western Asia,1492584
 Trinidad and Tobago,Americas,Caribbean,1369125
 Swaziland,Africa,Southern Africa,1367254
 Estonia,Europe,Northern Europe,1309632
 Timor-Leste,Asia,South-Eastern Asia,1296311
 Equatorial Guinea,Africa,Middle Africa,1267689
 Mauritius,Africa,Eastern Africa,1265138
 Cyprus,Europe,Europe,1179551
 Djibouti,Africa,Eastern Africa,956985
 Fiji,Oceania,Melanesia,905502
 Réunion,Africa,Eastern Africa,876562
 Comoros,Africa,Eastern Africa,813912
 Bhutan,Asia,Southern Asia,807610
 Guyana,Americas,South America,777859
 Montenegro,Europe,Southern Europe,628960
 Macau,Asia,Eastern Asia,622567
 Solomon Islands,Oceania,Melanesia,611343
 Luxembourg,Europe,Western Europe,583455
 Suriname,Americas,South America,563402
 Western Sahara,Africa,Northern Africa,552628
 Cabo Verde,Africa,Western Africa,546388
 Guadeloupe,Americas,Caribbean,449568
 Maldives,Asia,Southern Asia,436330
 Malta,Europe,Southern Europe,430835
 Brunei,Asia,South-Eastern Asia,428697
 Bahamas,Americas,Caribbean,395361
 Martinique,Americas,Caribbean,384896
 Belize,Americas,Central America,374681
 Iceland,Europe,Northern Europe,335025
 Barbados,Americas,Caribbean,285719
 French Polynesia,Oceania,Polynesia,283007
 French Guiana,Americas,South America,282731
 New Caledonia,Oceania,Melanesia,276255
 Vanuatu,Oceania,Melanesia,276244
 Mayotte,Africa,Eastern Africa,253045
 Sao Tome and Principe,Africa,Middle Africa,204327
 Samoa,Oceania,Polynesia,196440
 Saint Lucia,Americas,Caribbean,178844
 Guernsey and  Jersey,Europe,Northern Europe,165314
 Guam,Oceania,Micronesia,164229
 Curaçao,Americas,Caribbean,160539
 Kiribati,Oceania,Micronesia,116398
 Saint Vincent and the Grenadines,Americas,Caribbean,109897
 Tonga,Oceania,Polynesia,108020
 Grenada,Americas,Caribbean,107825
 Federated States of Micronesia,Oceania,Micronesia,105544
 Aruba,Americas,Caribbean,105264
 United States Virgin Islands,Americas,Caribbean,104901
 Antigua and Barbuda,Americas,Caribbean,102012
 Seychelles,Africa,Eastern Africa,94737
 Isle of Man,Europe,Northern Europe,84287
 Andorra,Europe,Southern Europe,76965
 Dominica,Americas,Caribbean,73925
 Cayman Islands,Americas,Caribbean,61559
 Bermuda,Americas,Northern America,61349
 Greenland,Americas,Northern America,56480
 American Samoa,Oceania,Polynesia,55641
 Saint Kitts and Nevis,Americas,Caribbean,55345
 Northern Mariana Islands,Oceania,Micronesia,55144
 Marshall Islands,Oceania,Micronesia,53127
 Faroe Islands,Europe,Northern Europe,49290
 Sint Maarten,Americas,Caribbean,40120
 Monaco,Europe,Western Europe,38695
 Liechtenstein,Europe,Western Europe,37922
 Turks and Caicos Islands,Americas,Caribbean,35446
 Gibraltar,Europe,Southern Europe,34571
 San Marino,Europe,Southern Europe,33400
 British Virgin Islands,Americas,Caribbean,31196
 Caribbean Netherlands,Americas,Caribbean,25398
 Palau,Oceania,Micronesia,21729
 Cook Islands,Oceania,Polynesia,17380
 Anguilla,Americas,Caribbean,14909
 Wallis and Futuna,Oceania,Polynesia,11773
 Nauru,Oceania,Micronesia,11359
 Tuvalu,Oceania,Polynesia,11192
 Saint Pierre and Miquelon,Americas,Northern America,6320
 Montserrat,Americas,Caribbean,5177
" Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,4049
 Falkland Islands,Americas,South America,2910
 Niue,Oceania,Polynesia,1618
 Tokelau,Oceania,Polynesia,1300
 Vatican City,Europe,Southern Europe,792
